[17-May-2017 12:08:16 UTC] PHP Fatal error:  Call to undefined function App\Http\Controllers\toArray() in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 24
[17-May-2017 12:08:19 UTC] PHP Fatal error:  Call to undefined function App\Http\Controllers\toArray() in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 24
[17-May-2017 12:08:22 UTC] PHP Fatal error:  Call to undefined function App\Http\Controllers\toArray() in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 24
[17-May-2017 12:15:02 UTC] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN) in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 27
[17-May-2017 12:15:54 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 26
[17-May-2017 12:16:26 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 26
[17-May-2017 12:16:32 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 26
[17-May-2017 12:17:56 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 25
[17-May-2017 12:18:13 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 25
[17-May-2017 12:26:31 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 25
[17-May-2017 12:28:23 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 25
[17-May-2017 12:28:32 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 25
[17-May-2017 12:30:27 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 25
[17-May-2017 12:30:39 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/libraryController.php on line 25
[17-May-2017 12:57:29 UTC] PHP Parse error:  syntax error, unexpected '$book' (T_VARIABLE) in /home/ubuntu/workspace/laravel/storage/framework/views/e46d02205b2b90a1ed7988fada88a8432e0e21f1.php on line 21
[18-May-2017 02:30:58 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/ubuntu/workspace/laravel/app/Http/Controllers/StudyController.php on line 39
[19-May-2017 12:58:17 UTC] PHP Fatal error:  Class 'App\Http\Controllers\Input' not found in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 40
[22-May-2017 07:11:42 UTC] PHP Fatal error:  Cannot use Illuminate\Http\Request as Request because the name is already in use in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 8
[22-May-2017 07:12:19 UTC] PHP Fatal error:  Cannot use Illuminate\Http\Request as Request because the name is already in use in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 8
[22-May-2017 07:13:53 UTC] PHP Fatal error:  Cannot use Illuminate\Http\Request as Request because the name is already in use in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 8
[22-May-2017 08:13:01 UTC] PHP Fatal error:  Call to a member function store() on array in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 147
[22-May-2017 08:13:17 UTC] PHP Fatal error:  Call to a member function store() on null in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 147
[22-May-2017 08:13:34 UTC] PHP Fatal error:  Call to a member function store() on null in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 147
[22-May-2017 08:13:41 UTC] PHP Fatal error:  Call to a member function store() on array in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 147
[24-May-2017 02:07:45 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR), expecting ';' in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 194
[24-May-2017 02:08:15 UTC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR), expecting ';' in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 194
